Using qualitative chat model: {
  model: 'gpt-4o-mini',
  modelName: 'gpt-4o-mini',
  userId: 1,
  timestamp: '2025-03-10T07:56:45.342Z'
}
info: Starting chatWithAI: {"estimatedTokenCount":6,"lastMessage":"Should I take more zinc?...","messageCount":1,"model":"gpt-4o-mini","timestamp":"2025-03-10T07:56:45.343Z"}
info: Stream created, starting to process chunks {"timestamp":"2025-03-10T07:56:45.820Z"}
info: Processing chunk: {"chunkLength":4,"preview":"That","timestamp":"2025-03-10T07:56:45.847Z"}
info: Processing chunk: {"chunkLength":2,"preview":"’s","timestamp":"2025-03-10T07:56:45.848Z"}
info: Processing chunk: {"chunkLength":2,"preview":" a","timestamp":"2025-03-10T07:56:45.868Z"}
info: Processing chunk: {"chunkLength":6,"preview":" great","timestamp":"2025-03-10T07:56:45.869Z"}
info: Processing chunk: {"chunkLength":9,"preview":" question","timestamp":"2025-03-10T07:56:45.888Z"}
info: Processing chunk: {"chunkLength":1,"preview":"!","timestamp":"2025-03-10T07:56:45.889Z"}
info: Processing chunk: {"chunkLength":5,"preview":" Zinc","timestamp":"2025-03-10T07:56:45.913Z"}
info: Processing chunk: {"chunkLength":4,"preview":" can","timestamp":"2025-03-10T07:56:45.914Z"}
info: Processing chunk: {"chunkLength":3,"preview":" be","timestamp":"2025-03-10T07:56:45.945Z"}
info: Processing chunk: {"chunkLength":3,"preview":" an","timestamp":"2025-03-10T07:56:45.946Z"}
info: Processing chunk: {"chunkLength":10,"preview":" important","timestamp":"2025-03-10T07:56:45.980Z"}
info: Processing chunk: {"chunkLength":8,"preview":" mineral","timestamp":"2025-03-10T07:56:45.980Z"}
info: Processing chunk: {"chunkLength":4,"preview":" for","timestamp":"2025-03-10T07:56:46.024Z"}
info: Processing chunk: {"chunkLength":8,"preview":" various","timestamp":"2025-03-10T07:56:46.025Z"}
info: Processing chunk: {"chunkLength":7,"preview":" bodily","timestamp":"2025-03-10T07:56:46.065Z"}
info: Processing chunk: {"chunkLength":10,"preview":" functions","timestamp":"2025-03-10T07:56:46.066Z"}
info: Processing chunk: {"chunkLength":1,"preview":",","timestamp":"2025-03-10T07:56:46.097Z"}
info: Processing chunk: {"chunkLength":10,"preview":" including","timestamp":"2025-03-10T07:56:46.098Z"}
info: Processing chunk: {"chunkLength":7,"preview":" immune","timestamp":"2025-03-10T07:56:46.292Z"}
info: Processing chunk: {"chunkLength":8,"preview":" support","timestamp":"2025-03-10T07:56:46.292Z"}
info: Processing chunk: {"chunkLength":4,"preview":" and","timestamp":"2025-03-10T07:56:46.373Z"}
info: Processing chunk: {"chunkLength":5,"preview":" mood","timestamp":"2025-03-10T07:56:46.373Z"}
info: Processing chunk: {"chunkLength":11,"preview":" regulation","timestamp":"2025-03-10T07:56:46.488Z"}
info: Processing chunk: {"chunkLength":1,"preview":".","timestamp":"2025-03-10T07:56:46.488Z"}
info: Processing chunk: {"chunkLength":4,"preview":" How","timestamp":"2025-03-10T07:56:46.540Z"}
info: Processing chunk: {"chunkLength":4,"preview":" has","timestamp":"2025-03-10T07:56:46.540Z"}
info: Processing chunk: {"chunkLength":5,"preview":" your","timestamp":"2025-03-10T07:56:46.577Z"}
info: Processing chunk: {"chunkLength":11,"preview":" experience","timestamp":"2025-03-10T07:56:46.577Z"}
info: Processing chunk: {"chunkLength":5,"preview":" been","timestamp":"2025-03-10T07:56:46.625Z"}
info: Processing chunk: {"chunkLength":5,"preview":" with","timestamp":"2025-03-10T07:56:46.625Z"}
info: Processing chunk: {"chunkLength":5,"preview":" your","timestamp":"2025-03-10T07:56:46.691Z"}
info: Processing chunk: {"chunkLength":8,"preview":" current","timestamp":"2025-03-10T07:56:46.691Z"}
info: Processing chunk: {"chunkLength":5,"preview":" zinc","timestamp":"2025-03-10T07:56:46.725Z"}
